region_code,number_prefix,is_geographic,is_mobile,is_satellite
AR,549221477,0,1,0
AR,5492627319,0,1,0
AR,5492396442,0,1,0
AR,5492325435,0,1,0
AR,54911596,0,1,0
AR,549341595,0,1,0
AR,5492664463,0,1,0
AR,54114615,0,1,0
AR,5492268406,0,1,0
AR,541145620,0,1,0
AR,5492364202,0,1,0
AR,54911316,0,1,0
AR,5492346643,0,1,0
AR,543434846,0,1,0
AR,5492262483,0,1,0
AR,549264544,0,1,0
AR,5492396459,0,1,0
AR,5492324479,0,1,0
AR,5492353408,0,1,0
AR,5492322479,0,1,0
AR,549115420,0,1,0
AR,5492622510,0,1,0
AR,5492804566,0,1,0
AR,5492342559,0,1,0
AR,5492344475,0,1,0
AR,5492224524,0,1,0
AR,5492255508,0,1,0
AR,549223564,0,1,0
AR,543434770,0,1,0
AR,542614559,0,1,0
AR,5492392458,0,1,0
AR,5492262468,0,1,0
AR,5492901534,0,1,0
AR,5492478541,0,1,0
AR,54112008,0,1,0
AR,5492477303,0,1,0
AR,54223457,0,1,0
AR,549341669,0,1,0
AR,549341639,0,1,0
AR,5492221418,0,1,0
AR,5492634360,0,1,0
AR,543783488,0,1,0
AR,5492651403,0,1,0
AR,5492478449,0,1,0
AR,5492223432,0,1,0
AR,5492494306,0,1,0
AR,5492664554,0,1,0
AR,5492323652,0,1,0
AR,5492314413,0,1,0
AR,549115626,0,1,0
AR,5492627482,0,1,0
AR,5492623579,0,1,0
AR,5492273410,0,1,0
AR,5492223522,0,1,0
AR,5492477362,0,1,0
AR,543414690,0,1,0
AR,5492262481,0,1,0
AR,5492227588,0,1,0
AR,54911334,0,1,0
AR,5492362346,0,1,0
AR,5493444580,0,1,0
AR,5492324680,0,1,0
AR,5492273413,0,1,0
AR,542374274,0,1,0
AR,5492224488,0,1,0
AR,5492362680,0,1,0
AR,5492625438,0,1,0
AR,5492622622,0,1,0
AR,549239256,0,1,0
AR,5492364559,0,1,0
AR,54114593,0,1,0
AR,5492627648,0,1,0
AR,5492494577,0,1,0
AR,5492623509,0,1,0
AR,549261343,0,1,0
AR,5492920658,0,1,0
AR,549113372,0,1,0
AR,542236527,0,1,0
AR,5492657355,0,1,0
AR,549228430,0,1,0
AR,549247467,0,1,0
AR,549116008,0,1,0
AR,5492302584,0,1,0
AR,5492364455,0,1,0
AR,549226648,0,1,0
AR,5492626401,0,1,0
AR,5492262614,0,1,0
AR,5493414067,0,1,0
AR,5492273427,0,1,0
AR,549236257,0,1,0
AR,5492257542,0,1,0
AR,5492226444,0,1,0
AR,5493454463,0,1,0
AR,5492273403,0,1,0
